Date,Open,High,Low,Close,Adj Close,Volume
2021-07-15,160.860001,162.199997,160.389999,161.690002,160.767181,6432500
2021-07-16,161.619995,161.699997,159.639999,159.850006,158.937668,6603700
2021-07-19,158.149994,158.820007,156.600006,157.869995,156.968964,7377100
2021-07-20,157.259995,160.429993,156.580002,159.740005,158.828293,4629200
2021-07-21,160.500000,161.429993,160.009995,161.080002,160.160645,5393100
2021-07-22,161.110001,163.750000,160.929993,163.679993,162.745804,4851500
2021-07-23,164.350006,166.449997,163.729996,166.360001,165.410507,4217700
2021-07-26,165.710007,166.529999,163.820007,165.089996,164.147751,3858800
2021-07-27,164.820007,165.610001,162.580002,164.570007,163.630737,4359000
2021-07-28,164.490005,165.899994,164.080002,165.460007,164.515656,4093600
2021-07-29,165.899994,167.029999,165.389999,166.990005,166.036926,3605600
2021-07-30,166.589996,167.869995,166.350006,167.509995,166.553940,5364400
2021-08-02,169.059998,169.979996,168.029999,168.750000,167.786865,5532500
2021-08-03,169.220001,171.500000,168.490005,171.229996,170.252716,5718100
2021-08-04,171.360001,172.339996,170.960007,171.910004,170.928848,4646200
2021-08-05,171.410004,174.000000,171.179993,173.850006,172.857773,3824000
2021-08-06,174.360001,174.380005,172.699997,172.800003,171.813751,4088700
2021-08-09,172.500000,173.059998,171.619995,171.770004,170.789642,3612800
2021-08-10,171.559998,173.960007,171.429993,172.270004,171.286789,3747100
2021-08-11,172.000000,173.220001,170.940002,171.270004,170.292480,4078300
2021-08-12,170.889999,171.320007,169.479996,170.639999,169.666077,3997100
2021-08-13,170.449997,171.720001,168.779999,171.690002,170.710083,2966200
2021-08-16,170.699997,172.399994,169.660004,172.360001,171.376251,3530200
2021-08-17,171.539993,171.699997,169.380005,170.660004,169.685974,3602900
2021-08-18,169.750000,171.800003,168.660004,168.809998,167.846527,5487400
2021-08-19,166.960007,167.539993,164.369995,165.589996,164.644897,7336300
2021-08-20,166.270004,168.009995,165.419998,167.789993,166.832352,4039100
2021-08-23,169.449997,170.899994,169.179993,169.720001,168.751343,3796500
2021-08-24,169.600006,170.869995,168.889999,169.979996,169.009842,3133100
2021-08-25,170.000000,170.690002,169.529999,169.839996,168.870651,3003800
2021-08-26,169.380005,169.520004,166.270004,166.919998,165.967316,4069600
2021-08-27,167.270004,168.070007,166.279999,167.580002,166.898499,3012400
2021-08-30,167.889999,168.410004,166.570007,168.029999,167.346664,3537100
2021-08-31,167.550003,167.679993,164.199997,164.740005,164.070053,7545600
2021-09-01,164.919998,166.619995,164.080002,164.559998,163.890778,4706500
2021-09-02,165.240005,165.429993,162.789993,163.669998,163.004410,4632100
2021-09-03,163.199997,164.169998,162.220001,163.289993,162.625946,4254500
2021-09-07,163.699997,163.860001,161.910004,162.639999,161.978592,5648800
2021-09-08,162.000000,162.089996,159.750000,160.710007,160.056458,6591700
2021-09-09,165.259995,166.149994,163.199997,163.339996,162.675751,8414800
2021-09-10,164.250000,165.660004,163.440002,163.589996,162.924728,4252100
2021-09-13,161.559998,162.919998,158.330002,159.520004,158.871292,8814500
2021-09-14,159.169998,159.389999,157.070007,158.759995,158.114365,5323900
2021-09-15,157.500000,158.320007,155.669998,157.910004,157.267838,6827100
2021-09-16,157.589996,159.009995,157.199997,157.600006,156.959106,5085900
2021-09-17,157.960007,161.000000,156.070007,156.419998,155.783890,7944800
2021-09-20,153.729996,155.270004,152.320007,154.250000,153.622726,7041200
2021-09-21,155.089996,156.130005,153.580002,155.020004,154.389587,5857900
2021-09-22,156.789993,158.000000,155.600006,157.440002,156.799744,6844800
2021-09-23,158.710007,160.289993,158.270004,159.580002,158.931046,11981500
2021-09-24,151.039993,151.850006,148.000000,149.589996,148.981659,26913300
2021-09-27,149.509995,149.910004,147.289993,148.039993,147.437973,11479300
2021-09-28,147.339996,147.529999,145.000000,145.300003,144.709122,10692300
2021-09-29,145.710007,147.940002,145.690002,146.020004,145.426178,7794900
2021-09-30,145.880005,147.479996,144.419998,145.229996,144.639389,10133600
2021-10-01,145.220001,148.000000,144.369995,147.059998,146.461960,8112300
2021-10-04,147.059998,147.619995,145.759995,147.139999,146.541641,7951000
2021-10-05,148.000000,151.000000,147.820007,149.460007,148.852203,10881900
2021-10-06,148.000000,149.460007,147.509995,148.800003,148.194870,7610700
2021-10-07,150.300003,153.660004,150.259995,151.850006,151.232483,7958000
2021-10-08,152.220001,152.869995,150.669998,152.479996,151.859909,6333700
2021-10-11,151.990005,153.589996,150.059998,150.279999,149.668854,5551200
2021-10-12,152.419998,153.600006,151.300003,153.350006,152.726379,7408600
2021-10-13,154.320007,156.669998,153.160004,156.300003,155.664383,8456300
2021-10-14,158.179993,158.460007,156.250000,157.139999,156.500961,6024500
2021-10-15,157.800003,158.330002,156.559998,158.009995,157.367416,5532100
2021-10-18,157.309998,159.470001,155.949997,159.429993,158.781647,5765300
2021-10-19,159.679993,159.929993,156.800003,157.820007,157.178207,6198200
2021-10-20,158.500000,158.800003,157.320007,158.449997,157.805634,4487000
2021-10-21,158.449997,162.339996,158.279999,162.179993,161.520462,6121700
2021-10-22,162.279999,164.619995,162.279999,163.479996,162.815170,5323000
2021-10-25,163.229996,164.729996,162.660004,164.220001,163.552170,3878200
2021-10-26,164.820007,165.449997,163.119995,163.789993,163.123917,4711200
2021-10-27,163.649994,164.059998,161.660004,162.350006,161.689774,4163900
2021-10-28,163.009995,164.600006,162.809998,164.460007,163.791199,3762000
2021-10-29,163.059998,167.630005,163.000000,167.289993,166.609680,6740600
2021-11-01,167.800003,168.800003,165.889999,166.330002,165.653595,3610800
2021-11-02,166.759995,168.160004,166.110001,167.830002,167.147491,5038000
2021-11-03,169.000000,172.869995,168.649994,172.500000,171.798508,7176700
2021-11-04,172.210007,175.630005,172.000000,175.440002,174.726547,5460100
2021-11-05,175.729996,179.100006,175.500000,177.509995,176.788116,5892200
2021-11-08,176.350006,176.539993,170.360001,171.850006,171.151138,8301100
2021-11-09,171.250000,173.929993,170.949997,173.820007,173.113144,4343000
2021-11-10,171.229996,172.169998,167.550003,168.259995,167.575729,8185200
2021-11-11,169.600006,169.600006,166.630005,166.970001,166.290985,4994900
2021-11-12,167.500000,169.679993,167.399994,169.089996,168.402374,5126300
2021-11-15,169.699997,170.360001,168.520004,168.850006,168.163345,3856700
2021-11-16,169.250000,174.000000,169.250000,171.830002,171.131226,4401000
2021-11-17,171.600006,172.740005,170.250000,171.740005,171.041595,3940200
2021-11-18,172.330002,173.460007,170.360001,171.350006,170.653183,4044200
2021-11-19,172.149994,177.199997,170.529999,174.880005,174.168823,6145600
2021-11-22,174.979996,177.750000,174.229996,174.240005,173.531418,5906400
2021-11-23,173.050003,173.429993,170.410004,172.149994,171.449921,5302100
2021-11-24,168.490005,172.429993,167.669998,172.029999,171.330414,4637600
2021-11-26,168.059998,169.679993,167.539993,168.020004,167.336731,4751100
2021-11-29,169.830002,171.149994,169.229996,169.869995,169.179184,5448700
2021-11-30,168.789993,171.550003,167.529999,169.240005,168.551758,11033700
2021-12-01,170.889999,173.369995,166.679993,166.699997,166.022079,6618200
2021-12-02,167.279999,170.550003,167.000000,170.000000,169.308670,4398900
2021-12-03,170.619995,172.070007,166.759995,170.240005,169.852432,4878500
2021-12-06,170.830002,171.210007,168.059998,168.910004,168.525452,5636900
2021-12-07,171.110001,173.350006,170.399994,171.289993,170.900024,5898700
2021-12-08,171.220001,171.789993,169.839996,170.250000,169.862396,5614400
2021-12-09,169.289993,171.169998,167.990005,168.100006,167.717300,5171600
2021-12-10,168.500000,170.240005,167.330002,169.059998,168.675110,4791100
2021-12-13,168.809998,169.389999,165.259995,166.839996,166.460159,5972300
2021-12-14,166.289993,167.080002,164.210007,165.399994,165.023438,4872200
2021-12-15,165.000000,165.669998,161.820007,163.899994,163.526855,7144600
2021-12-16,162.699997,165.940002,162.529999,162.720001,162.349548,7138100
2021-12-17,161.630005,162.860001,160.550003,161.360001,160.992645,7705100
2021-12-20,159.339996,159.600006,155.470001,156.979996,156.622604,8411900
2021-12-21,166.690002,171.190002,164.710007,166.630005,166.250641,13862900
2021-12-22,167.240005,169.000000,164.089996,165.440002,165.063354,5811300
2021-12-23,166.250000,167.160004,165.440002,165.669998,165.292831,3876900
2021-12-27,166.520004,167.690002,165.479996,167.580002,167.198486,3769300
2021-12-28,167.800003,168.250000,166.300003,166.419998,166.041122,2658600
2021-12-29,167.070007,169.800003,166.600006,168.779999,168.395737,3830900
2021-12-30,168.309998,170.119995,167.199997,167.490005,167.108688,2666800
2021-12-31,167.559998,167.720001,166.210007,166.669998,166.290543,2752000
2022-01-03,167.529999,167.910004,163.309998,164.669998,164.295105,5670500
2022-01-04,165.880005,167.179993,165.000000,166.389999,166.011185,6064200
2022-01-05,166.490005,167.009995,162.100006,162.250000,161.880615,5021000
2022-01-06,162.089996,163.190002,159.059998,161.039993,160.673355,4144600
2022-01-07,160.770004,161.139999,156.860001,156.970001,156.612640,5108000
2022-01-10,150.520004,151.330002,148.779999,150.440002,150.097504,10439000
2022-01-11,150.479996,150.839996,147.600006,150.300003,149.957825,8175400
2022-01-12,152.130005,153.460007,150.740005,152.210007,151.863480,6351200
2022-01-13,153.199997,153.600006,149.020004,149.589996,149.249435,4990900
2022-01-14,148.389999,148.839996,146.850006,148.179993,147.842636,6030500
2022-01-18,148.059998,148.830002,146.300003,146.949997,146.615448,6931000
2022-01-19,147.759995,149.100006,145.020004,145.110001,144.779633,4823800
2022-01-20,145.460007,147.380005,142.500000,142.729996,142.405045,5366500
2022-01-21,144.320007,146.360001,142.850006,142.949997,142.624542,7553400
2022-01-24,140.809998,146.309998,139.559998,146.000000,145.667603,9733200
2022-01-25,144.970001,147.960007,142.509995,145.479996,145.148788,8195400
2022-01-26,147.779999,148.970001,142.729996,143.990005,143.662186,7444600
2022-01-27,144.990005,147.350006,143.580002,144.639999,144.310699,6396400
2022-01-28,144.119995,146.029999,140.610001,145.910004,145.577820,6130200
2022-01-31,146.270004,148.179993,145.220001,148.070007,147.732895,6932200
2022-02-01,149.500000,149.679993,146.800003,148.220001,147.882553,6695000
2022-02-02,148.350006,149.460007,147.529999,148.710007,148.371445,5491700
2022-02-03,147.399994,148.460007,144.970001,145.309998,144.979172,5240200
2022-02-04,145.369995,146.479996,143.639999,145.389999,145.058990,4313400
2022-02-07,145.300003,146.119995,144.220001,145.139999,144.809570,3877500
2022-02-08,144.740005,145.500000,142.300003,143.529999,143.203232,5829400
2022-02-09,146.110001,147.360001,145.669998,146.259995,145.927017,4551000
2022-02-10,143.960007,147.539993,143.850006,144.820007,144.490295,5142600
2022-02-11,144.759995,145.059998,139.559998,140.179993,139.860855,6710500
2022-02-14,140.080002,143.210007,139.789993,141.589996,141.267639,6841200
2022-02-15,144.220001,146.320007,144.100006,145.580002,145.248566,7820200
2022-02-16,145.020004,146.949997,144.610001,146.490005,146.156494,4817500
2022-02-17,145.539993,146.910004,142.639999,142.800003,142.474899,5202300
2022-02-18,143.369995,143.940002,141.809998,142.949997,142.624542,5177400
2022-02-22,141.589996,141.639999,136.160004,138.190002,137.875397,9604500
2022-02-23,139.660004,140.970001,136.509995,136.830002,136.518494,7636600
2022-02-24,133.000000,137.419998,130.929993,137.169998,136.857712,8417200
2022-02-25,138.130005,139.220001,136.190002,138.800003,138.484009,5424500
2022-02-28,137.059998,138.380005,135.039993,136.550003,136.239120,6612700
2022-03-01,136.720001,136.750000,131.149994,132.220001,131.918976,6534000
2022-03-02,132.979996,136.610001,132.770004,135.679993,135.371094,7743900
2022-03-03,136.740005,136.800003,133.449997,133.970001,133.664993,4576500
2022-03-04,132.509995,133.619995,130.699997,131.179993,131.179993,7084500
2022-03-07,131.000000,131.029999,124.169998,124.440002,124.440002,11383400
2022-03-08,125.239998,125.470001,120.800003,121.209999,121.209999,9089400
2022-03-09,127.379997,129.649994,126.629997,126.949997,126.949997,8845100
2022-03-10,124.019997,126.599998,124.000000,126.029999,126.029999,7167400
2022-03-11,127.010002,127.870003,122.510002,122.629997,122.629997,5881600
2022-03-14,121.529999,122.449997,116.750000,117.570000,117.570000,13884900
2022-03-15,119.839996,120.419998,117.750000,119.400002,119.400002,10431300
2022-03-16,122.849998,126.110001,121.930000,125.190002,125.190002,11100400
2022-03-17,124.940002,127.410004,123.699997,127.410004,127.410004,6845300
2022-03-18,126.849998,131.460007,126.699997,131.240005,131.240005,10338700
2022-03-21,129.720001,132.309998,128.619995,130.190002,130.190002,14159900
2022-03-21,129.720001,132.309998,128.619995,130.190002,130.190002,11284761
